First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
JohnMichael,Betancourt,Purchase,96,UTEP Miner Pride Week,6,VIP
Kaa,Disney,Purchase,32,UTEP Basketball 19,1,Gold
Pluto,Disney,Purchase,81,UTEP Jazz Ensemble Night,4,Silver
Oliver,Garcia Camarena,Purchase,108,Miner Summer Bash,5,Bronze
Jason,Ortiz,Purchase,55,UTEP Wind Symphony 11,3,Bronze
Deep,Learning,Purchase,40,UTEP Basketball 27,2,GA
Goofy,Disney,Purchase,70,UTEP Commencement 2,5,VIP
Peter,Pan,Purchase,83,UTEP Fiesta Latina,1,GA
Luis,Armado,Purchase,85,UTEP Miners vs. UTSA (Football),1,Silver
Water,Bottle,Purchase,119,UTEP Miners vs. UT Arlington (Basketball),6,Silver
Carlos,Marin,Purchase,28,UTEP Basketball 15,4,Bronze
Ariel,Disney,Purchase,32,UTEP Basketball 19,6,Gold
Kevin,Ayala Vilchis,Purchase,92,UTEP Miners vs. SMU (Football),3,Gold
Cindy,Zhu,Purchase,44,UTEP Basketball 31,6,Bronze
Armando,Levario Alvarez,Purchase,41,UTEP Basketball 28,5,VIP
Mufassa,Disney,Purchase,79,Gloria Trevi Live in El Paso,6,VIP
Alondra,Gonzalez,Purchase,86,Los Ángeles Azules en Concierto,4,Gold
Ridley,Dean,Purchase,37,UTEP Basketball 24,2,GA
Oliver,Garcia Camarena,Purchase,79,Gloria Trevi Live in El Paso,2,VIP
Kid,Cuddi,Purchase,19,UTEP Basketball 6,5,Gold
Jafar,Aladdin,Purchase,35,UTEP Basketball 22,4,GA
Kid,Cuddi,Purchase,26,UTEP Basketball 13,4,Bronze
Jason,Durulo,Purchase,101,UTEP Miners vs. Western Kentucky (Basketball),2,VIP
First,Last,Purchase,8,UTEP Football 8,3,GA
Francisco,Garcia,Purchase,112,Imagine Dragons Live,5,Bronze
Cindy,Zhu,Purchase,80,UTEP Spring Music Fest,1,Gold
Carlos,Rappa,Purchase,6,UTEP Football 6,4,Silver
Denisse,Loya,Purchase,70,UTEP Commencement 2,3,VIP
Angel,Bautista,Purchase,43,UTEP Basketball 30,6,Silver
Sofia,Vergara,Purchase,41,UTEP Basketball 28,2,Bronze
Stitch,Disney,Purchase,117,Metallica M72 World Tour,3,Gold
Isabel,Quinones,Purchase,49,UTEP Wind Symphony 5,2,GA
Miranda,Macias,Purchase,114,Shakira World Tour 2026,5,VIP
Isai,Nino Morales,Purchase,105,Miner Lights Winter Fest,1,Silver
Michael,Close,Purchase,80,UTEP Spring Music Fest,4,Gold
Julieta,Rodriguez,Purchase,36,UTEP Basketball 23,5,GA
Prince,Eric,Purchase,26,UTEP Basketball 13,1,Gold
Jose,Ortiz Zarate,Purchase,107,The Weeknd: After Hours Til Dawn Tour,4,GA
Arturo,Flores,Purchase,31,UTEP Basketball 18,5,VIP
Zachary,Carrejo,Purchase,15,UTEP Basketball 2,1,VIP
Alondra,Gonzalez,Purchase,30,UTEP Basketball 17,1,Silver
Jake,Mayers,Purchase,3,UTEP Football 3,2,Gold
Arturo,Flores,Purchase,28,UTEP Basketball 15,4,Silver
Belle,Disney,Purchase,53,UTEP Wind Symphony 9,2,Gold
Kid,Rock,Purchase,63,Shakira Live,1,VIP
Random,Name,Purchase,16,UTEP Basketball 3,6,VIP
Simba,King,Purchase,1,UTEP Football 1,5,VIP
