ID, First Name, Last Name, Money Available, Concerts Purchased, TicketMiner Membership, Username, Password, Transaction Count
40,Carlo,Alonso,0.12,121,Yes,carloalonso,REDACTED,30
18,Jafar,Aladdin,2.29,84,Yes,jafaraladdin,REDACTED,25
96,Miguel,Renteria,2.25,47,Yes,renteriamiguel,REDACTED,14
135,Ximena,Apodaca,1.49,50,No,apodacaximena,REDACTED,15
145,Machine,Learning,0.07,98,No,learningmachine,REDACTED,27
66,Francisco,Garcia,2.12,78,No,garciafrancisco,REDACTED,21
149,Luis,Miguel,0.22,55,No,miguelluis,REDACTED,14
47,Saul,Burns,1.23,134,Yes,burnssaul,REDACTED,36
150,Ana,Rodriguez,1.01,51,No,rodriguezana,REDACTED,18
24,Simba,King,0.36,51,No,simbaking,REDACTED,13
113,Adan,Zamorano,2.01,127,Yes,zamoranoadan,REDACTED,38
131,Isabela,Gaytan,1.59,51,No,gaytanisabela,REDACTED,14
45,Angel,Bautista,0.61,56,No,bautistaangel,REDACTED,16
125,Pablo,Escobar,1.26,52,Yes,escobarpablo,REDACTED,16
134,Alondra,Mariscal,0.55,128,No,mariscalalondra,REDACTED,40
99,Raphael,Romero,0.50,50,No,romeroraphael,REDACTED,15
9,Ariel,Disney,0.03,63,Yes,arieldisney,REDACTED,17
28,Kaa,Disney,1.07,68,No,kaadisney,REDACTED,19
159,Kendra,Burton,2.30,53,Yes,burtonkendra,REDACTED,19
86,Isai,Nino Morales,0.62,75,Yes,nino moralesisai,REDACTED,21
80,Thiaxi,Melendez Cepeda,0.73,23,No,melendez cepedathiaxi,REDACTED,8
67,Oliver,Garcia Camarena,0.91,88,Yes,garcia camarenaoliver,REDACTED,28
37,Daniel,Mejia,0.79,58,No,danielmejia,REDACTED,18
153,Dak,Prescot,0.96,43,No,prescotdak,REDACTED,14
19,Ursela,Mermaid,1.48,59,Yes,urselamermaid,REDACTED,17
98,Martha,Rios-Lozano,1.87,45,No,rios-lozanomartha,REDACTED,12
51,Luis,Carreon,0.26,107,No,carreonluis,REDACTED,32
15,Peter,Pan,1.91,89,Yes,peterpan,REDACTED,30
143,Luis,Armado,1.83,56,No,armadoluis,REDACTED,18
39,Sam,Alderete,1.49,88,No,samalderete,REDACTED,28
49,Daniel,Cardenas,2.05,133,Yes,cardenasdaniel,REDACTED,40
50,Zachary,Carrejo,0.70,103,No,carrejozachary,REDACTED,29
129,Vera,Wang,2.44,58,No,wangvera,REDACTED,14
41,Gael,Argumedo,0.95,69,Yes,argumedogael,REDACTED,18
13,Mufassa,Disney,0.77,153,Yes,mufassadisney,REDACTED,42
33,Hercules,Disney,1.35,125,No,herculesdisney,REDACTED,36
110,Brenden,Ucol,0.11,65,No,ucolbrenden,REDACTED,21
157,Klay,Thompson,0.16,120,No,thompsonklay,REDACTED,34
23,Scar,Lion,0.61,187,Yes,scarlion,REDACTED,56
144,Deep,Learning,0.07,34,No,learningdeep,REDACTED,11
34,Mulan,Disney,2.03,97,No,mulandisney,REDACTED,32
102,Jairo,Ruvalcaba,2.16,49,Yes,ruvalcabajairo,REDACTED,17
65,Abigail,Galarza,1.67,76,Yes,galarzaabigail,REDACTED,23
42,Kevin,Ayala Vilchis,0.40,37,No,ayala vilchiskevin,REDACTED,11
12,Simba,Disney,1.61,71,No,simbadisney,REDACTED,26
8,Cinderella,Disney,0.30,126,No,cinderelladisney,REDACTED,40
133,Andrea,Villa,1.34,33,No,villaandrea,REDACTED,12
104,Diego,Sanchez,1.45,35,No,sanchezdiego,REDACTED,11
5,Pluto,Disney,0.30,45,Yes,plutodisney,REDACTED,12
154,James,Harden,0.93,174,No,hardenjames,REDACTED,59
6,Chip,Disney,2.46,47,Yes,chipdisney,REDACTED,12
147,Random,Name,0.39,74,No,namerandom,REDACTED,23
21,Belle,Disney,1.69,96,Yes,belledisney,REDACTED,30
151,Sports,Fan,1.61,52,Yes,fansports,REDACTED,19
44,Emmanuel,Barraza-Villa,1.10,52,Yes,barraza-villaemmanuel,REDACTED,14
89,Aadvika,Pandey,1.24,57,No,pandeyaadvika,REDACTED,15
68,Jonathan,Gomez,1.94,154,Yes,gomezjonathan,REDACTED,49
112,Alan,Villamil Cabrera,1.71,58,No,villamil cabreraalan,REDACTED,20
62,Emily,Fernandez,1.26,44,Yes,fernandezemily,REDACTED,11
64,Javier,Flores De La O,2.41,108,No,flores de la ojavier,REDACTED,35
72,Isaiah,Johnson,0.51,80,Yes,johnsonisaiah,REDACTED,25
76,Alex,Marquez,0.37,51,Yes,marquezalex,REDACTED,14
54,Michael,Close,1.72,88,No,closemichael,REDACTED,28
120,Arturo,Flores,0.66,63,No,floresarturo,REDACTED,16
46,JohnMichael,Betancourt,0.65,107,No,betancourtjohnmichael,REDACTED,34
10,Jasmine,Disney,0.95,35,No,jasminedisney,REDACTED,10
161,Taco,Bell,0.69,68,Yes,belltaco,REDACTED,21
92,Eloy,Perez Quinones,2.49,19,No,perez quinoneseloy,REDACTED,8
152,Russel,Westbrook,1.86,61,No,westbrookrussel,REDACTED,19
85,Henry,Ng,1.11,106,No,nghenry,REDACTED,34
111,Fernando,Vargas,0.94,91,No,vargasfernando,REDACTED,33
38,Alireza,Nouri,0.52,32,No,alirezanouri,REDACTED,12
156,Draymond,Green,1.50,35,Yes,greendraymond,REDACTED,13
94,Alexa,Ramirez-Salinas,0.44,41,Yes,ramirez-salinasalexa,REDACTED,12
1,Mickey,Mouse,0.33,48,Yes,mickeymouse,REDACTED,11
142,Fernando,Guzman,1.56,110,No,guzmanfernando,REDACTED,28
101,Malachi,Rosas,2.48,45,Yes,rosasmalachi,REDACTED,13
27,Captaiin,Hook,1.24,55,No,captaiinhook,REDACTED,15
127,George,Lopez,0.98,100,No,lopezgeorge,REDACTED,27
2,Donald,Duck,0.21,96,No,donaldduck,REDACTED,29
61,Evelyn,Fang,0.49,28,Yes,fangevelyn,REDACTED,8
107,Sabina,Sosa,2.04,100,No,sosasabina,REDACTED,31
52,Anthony,Casillas,2.23,73,Yes,casillasanthony,REDACTED,19
59,Matthieu,Enriquez,1.45,37,Yes,enriquezmatthieu,REDACTED,14
130,Alondra,Gonzalez,0.06,78,No,gonzalezalondra,REDACTED,25
146,First,Last,2.00,43,No,lastfirst,REDACTED,16
77,Sebastian,Marquez,2.42,42,Yes,marquezsebastian,REDACTED,15
22,Cruella,DeVil,0.01,88,No,cruelladevil,REDACTED,24
32,Quasimodo,Disney,0.83,127,No,quasimododisney,REDACTED,40
78,Cia,Martin,1.58,102,No,martincia,REDACTED,31
3,Minnie,Mouse,1.23,66,No,minniemouse,REDACTED,21
36,Stitch,Disney,0.99,86,Yes,stitchdisney,REDACTED,25
116,Kid,Cuddi,1.60,36,Yes,cuddikid,REDACTED,11
57,Tenzin,Draduk,0.25,111,Yes,draduktenzin,REDACTED,33
97,Juan,Reyes,0.85,24,No,reyesjuan,REDACTED,7
55,Ridley,Dean,1.51,58,Yes,deanridley,REDACTED,22
119,Christina,Perez,0.08,127,No,perezchristina,REDACTED,35
118,Jason,Durulo,0.55,70,Yes,durulojason,REDACTED,22
138,Cindy,Zhu,1.14,49,No,zhucindy,REDACTED,15
35,Lilo,Disney,2.61,49,No,lilodisney,REDACTED,16
95,Carlos,Rappa,0.35,110,Yes,rappacarlos,REDACTED,31
155,Lebron,James,0.58,28,Yes,jameslebron,REDACTED,8
7,Dale,Disney,1.13,32,Yes,daledisney,REDACTED,12
63,Eugenio,Fernandez,0.38,57,Yes,fernandezeugenio,REDACTED,21
79,Patty,Martinez,1.90,113,Yes,martinezpatty,REDACTED,30
105,Adrian,Sifuentes,0.01,23,No,sifuentesadrian,REDACTED,8
87,Jason,Ortiz,1.74,74,No,ortizjason,REDACTED,22
17,Buzz,Lightyear,2.22,42,Yes,buzzlightyear,REDACTED,14
58,Maria,Duron,0.46,96,No,duronmaria,REDACTED,29
132,Estefania,Fernadez,1.72,63,Yes,fernadezestefania,REDACTED,19
158,Stephen,Curry,1.48,116,Yes,currystephen,REDACTED,38
48,Caelyn,Campos,1.49,81,Yes,camposcaelyn,REDACTED,25
60,Lucas,Esquivel,0.10,68,Yes,esquivellucas,REDACTED,22
106,Alejandro,Solano,1.41,80,No,solanoalejandro,REDACTED,23
141,Emiliano,Garcia,2.08,84,No,garciaemiliano,REDACTED,27
69,Maurizio,Gonzalez,1.79,34,No,gonzalezmaurizio,REDACTED,10
82,Daniel,Montellano Pinon,0.48,15,No,montellano pinondaniel,REDACTED,6
121,Emilio,Rojero,1.85,44,Yes,rojeroemilio,REDACTED,13
162,Water,Bottle,0.85,77,Yes,bottlewater,REDACTED,22
108,Alondra,Tarango,2.19,52,No,tarangoalondra,REDACTED,14
126,Sofia,Vergara,0.15,115,No,vergarasofia,REDACTED,37
139,Jake,Mayers,1.48,86,No,mayersjake,REDACTED,24
148,Avery,Whittman,2.16,134,No,whittmanavery,REDACTED,39
81,Daniela,Molina-Najera,2.59,42,Yes,molina-najeradaniela,REDACTED,19
114,Luis,Zepeda-Rodriguez,0.85,35,No,zepeda-rodriguezluis,REDACTED,14
31,Prince,Eric,0.32,156,Yes,princeeric,REDACTED,45
91,Elian,Pena Ramos,1.83,62,Yes,pena ramoselian,REDACTED,21
73,Armando,Levario Alvarez,1.54,63,Yes,levario alvarezarmando,REDACTED,19
83,Daniel,Morales,0.85,69,No,moralesdaniel,REDACTED,23
71,Anisa,Hyder,0.00,35,Yes,hyderanisa,REDACTED,11
70,Emiliano,Huerta,2.19,29,No,huertaemiliano,REDACTED,10
128,Tom,Holland,0.40,114,No,hollandtom,REDACTED,38
88,Jose,Ortiz Zarate,2.13,113,Yes,ortiz zaratejose,REDACTED,32
160,Burger,King,2.11,57,No,kingburger,REDACTED,18
75,Carlos,Marin,1.57,88,No,marincarlos,REDACTED,25
117,Victoria,Lopez,0.43,52,Yes,lopezvictoria,REDACTED,18
93,Isabel,Quinones,0.67,80,No,quinonesisabel,REDACTED,24
103,Ares,Salazar,1.48,55,No,salazarares,REDACTED,19
115,Kid,Rock,0.61,52,No,rockkid,REDACTED,16
56,Sam,Dominguez-Flores,0.26,69,Yes,dominguez-floressam,REDACTED,23
123,Denisse,Loya,1.75,20,No,loyadenisse,REDACTED,7
11,Aladdin,Disney,0.94,37,No,aladdindisney,REDACTED,12
4,Goofy,Disney,1.46,81,No,goofydisney,REDACTED,22
43,David,Bai,0.14,108,Yes,baidavid,REDACTED,33
109,Gabriel,Tovar,0.65,44,Yes,tovargabriel,REDACTED,16
20,Beast,Disney,0.95,36,Yes,beastdisney,REDACTED,14
53,Brian,Casio Iracheta,0.51,91,Yes,casio irachetabrian,REDACTED,20
29,Evil,Queen,0.93,19,No,evilqueen,REDACTED,7
124,Fatima,Ortiz,0.72,47,No,ortizfatima,REDACTED,13
14,Aurora,Disney,0.54,47,Yes,auroradisney,REDACTED,16
137,Daniel,Reyes,1.99,53,Yes,reyesdaniel,REDACTED,16
