ID, First Name, Last Name, Money Available, Concerts Purchased, TicketMiner Membership, Username, Password, Transaction Count
40,Carlo,Alonso,4625.64,0,Yes,carloalonso,REDACTED,0
18,Jafar,Aladdin,2958.47,0,Yes,jafaraladdin,REDACTED,0
96,Miguel,Renteria,5640.18,0,Yes,renteriamiguel,REDACTED,0
135,Ximena,Apodaca,4800.48,0,No,apodacaximena,REDACTED,0
145,Machine,Learning,2817.01,0,No,learningmachine,REDACTED,0
66,Francisco,Garcia,3824.02,0,No,garciafrancisco,REDACTED,0
149,Luis,Miguel,1487.98,0,No,miguelluis,REDACTED,0
47,Saul,Burns,5291.14,0,Yes,burnssaul,REDACTED,0
150,Ana,Rodriguez,2071.36,0,No,rodriguezana,REDACTED,0
24,Simba,King,2358.95,0,No,simbaking,REDACTED,0
113,Adan,Zamorano,4968.39,0,Yes,zamoranoadan,REDACTED,0
131,Isabela,Gaytan,4586.71,0,No,gaytanisabela,REDACTED,0
45,Angel,Bautista,1343.41,0,No,bautistaangel,REDACTED,0
125,Pablo,Escobar,801.62,0,Yes,escobarpablo,REDACTED,0
134,Alondra,Mariscal,4016.13,0,No,mariscalalondra,REDACTED,0
99,Raphael,Romero,1959.49,0,No,romeroraphael,REDACTED,0
9,Ariel,Disney,1335.79,0,Yes,arieldisney,REDACTED,0
28,Kaa,Disney,3040.34,0,No,kaadisney,REDACTED,0
159,Kendra,Burton,898.37,0,Yes,burtonkendra,REDACTED,0
86,Isai,Nino Morales,5623.95,0,Yes,nino moralesisai,REDACTED,0
80,Thiaxi,Melendez Cepeda,2473.00,0,No,melendez cepedathiaxi,REDACTED,0
67,Oliver,Garcia Camarena,3436.82,0,Yes,garcia camarenaoliver,REDACTED,0
37,Daniel,Mejia,1822.17,0,No,danielmejia,REDACTED,0
153,Dak,Prescot,3249.98,0,No,prescotdak,REDACTED,0
19,Ursela,Mermaid,3133.06,0,Yes,urselamermaid,REDACTED,0
98,Martha,Rios-Lozano,1401.53,0,No,rios-lozanomartha,REDACTED,0
51,Luis,Carreon,4857.59,0,No,carreonluis,REDACTED,0
15,Peter,Pan,4956.43,0,Yes,peterpan,REDACTED,0
143,Luis,Armado,1618.53,0,No,armadoluis,REDACTED,0
39,Sam,Alderete,2459.69,0,No,samalderete,REDACTED,0
49,Daniel,Cardenas,5733.38,0,Yes,cardenasdaniel,REDACTED,0
50,Zachary,Carrejo,4637.34,0,No,carrejozachary,REDACTED,0
129,Vera,Wang,1304.76,0,No,wangvera,REDACTED,0
41,Gael,Argumedo,2188.43,0,Yes,argumedogael,REDACTED,0
13,Mufassa,Disney,5726.83,0,Yes,mufassadisney,REDACTED,0
33,Hercules,Disney,4030.24,0,No,herculesdisney,REDACTED,0
110,Brenden,Ucol,2944.26,0,No,ucolbrenden,REDACTED,0
157,Klay,Thompson,4304.63,0,No,thompsonklay,REDACTED,0
23,Scar,Lion,5509.13,0,Yes,scarlion,REDACTED,0
144,Deep,Learning,1205.76,0,No,learningdeep,REDACTED,0
34,Mulan,Disney,5009.72,0,No,mulandisney,REDACTED,0
102,Jairo,Ruvalcaba,5989.73,0,Yes,ruvalcabajairo,REDACTED,0
65,Abigail,Galarza,5709.31,0,Yes,galarzaabigail,REDACTED,0
42,Kevin,Ayala Vilchis,1200.13,0,No,ayala vilchiskevin,REDACTED,0
12,Simba,Disney,3264.84,0,No,simbadisney,REDACTED,0
8,Cinderella,Disney,3625.84,0,No,cinderelladisney,REDACTED,0
133,Andrea,Villa,4127.58,0,No,villaandrea,REDACTED,0
104,Diego,Sanchez,1186.43,0,No,sanchezdiego,REDACTED,0
5,Pluto,Disney,1165.79,0,Yes,plutodisney,REDACTED,0
154,James,Harden,5796.44,0,No,hardenjames,REDACTED,0
6,Chip,Disney,1644.86,0,Yes,chipdisney,REDACTED,0
147,Random,Name,1729.37,0,No,namerandom,REDACTED,0
21,Belle,Disney,5847.07,0,Yes,belledisney,REDACTED,0
151,Sports,Fan,1968.69,0,Yes,fansports,REDACTED,0
44,Emmanuel,Barraza-Villa,4557.53,0,Yes,barraza-villaemmanuel,REDACTED,0
89,Aadvika,Pandey,3495.64,0,No,pandeyaadvika,REDACTED,0
68,Jonathan,Gomez,4286.05,0,Yes,gomezjonathan,REDACTED,0
112,Alan,Villamil Cabrera,4721.41,0,No,villamil cabreraalan,REDACTED,0
62,Emily,Fernandez,2291.40,0,Yes,fernandezemily,REDACTED,0
64,Javier,Flores De La O,4933.65,0,No,flores de la ojavier,REDACTED,0
72,Isaiah,Johnson,3061.14,0,Yes,johnsonisaiah,REDACTED,0
76,Alex,Marquez,1313.70,0,Yes,marquezalex,REDACTED,0
54,Michael,Close,5616.43,0,No,closemichael,REDACTED,0
120,Arturo,Flores,1396.82,0,No,floresarturo,REDACTED,0
46,JohnMichael,Betancourt,2498.07,0,No,betancourtjohnmichael,REDACTED,0
10,Jasmine,Disney,971.02,0,No,jasminedisney,REDACTED,0
161,Taco,Bell,2157.53,0,Yes,belltaco,REDACTED,0
92,Eloy,Perez Quinones,4648.66,0,No,perez quinoneseloy,REDACTED,0
152,Russel,Westbrook,5825.10,0,No,westbrookrussel,REDACTED,0
85,Henry,Ng,5625.38,0,No,nghenry,REDACTED,0
111,Fernando,Vargas,4477.47,0,No,vargasfernando,REDACTED,0
38,Alireza,Nouri,4657.96,0,No,alirezanouri,REDACTED,0
156,Draymond,Green,5231.00,0,Yes,greendraymond,REDACTED,0
94,Alexa,Ramirez-Salinas,1946.17,0,Yes,ramirez-salinasalexa,REDACTED,0
1,Mickey,Mouse,1373.62,0,Yes,mickeymouse,REDACTED,0
142,Fernando,Guzman,4862.05,0,No,guzmanfernando,REDACTED,0
101,Malachi,Rosas,2605.64,0,Yes,rosasmalachi,REDACTED,0
27,Captaiin,Hook,1999.41,0,No,captaiinhook,REDACTED,0
127,George,Lopez,3407.18,0,No,lopezgeorge,REDACTED,0
2,Donald,Duck,3224.44,0,No,donaldduck,REDACTED,0
61,Evelyn,Fang,1209.61,0,Yes,fangevelyn,REDACTED,0
107,Sabina,Sosa,3803.92,0,No,sosasabina,REDACTED,0
